protein1,protein2,combined_score
0,14,463
0,4896,315
0,3678,997
0,4894,928
0,2455,958
0,2076,662
0,18,995
0,755,970
0,4125,483
0,4482,977
0,1839,964
0,1488,964
0,3,540
0,8,315
0,4317,197
0,5182,956
0,1455,953
0,3836,483
0,9,969
0,5,540
0,1051,958
0,5810,315
0,5622,577
0,3050,962
0,2294,964
0,1701,315
0,5661,495
3,4317,197
3,1455,631
3,5182,660
3,1488,724
3,1839,724
3,5661,294
3,2294,724
3,5622,442
3,3050,704
3,9,643
3,5,540
3,1051,540
3,3678,869
3,0,540
3,4482,540
3,755,540
3,18,908
3,2076,662
3,2455,540
5,18,908
5,1839,724
5,755,540
5,3,540
5,1488,724
5,5182,660
5,1455,631
5,4317,197
5,1051,540
5,9,643
5,3050,704
5,5622,442
5,2294,724
5,5661,294
5,4482,540
5,0,540
5,3678,869
5,2455,540
5,2076,662
6,1976,315
7,2131,720
7,5139,540
7,4895,286
7,5761,941
7,1511,720
7,8,975
7,5434,720
7,2481,720
7,871,720
7,1226,955
7,5569,987
7,535,720
7,4493,650
7,696,954
7,214,987
7,13,955
7,3342,720
7,4024,596
7,5031,941
7,1491,720
7,5810,315
7,5789,720
7,2503,321
7,3926,980
7,1253,720
7,3836,463
7,2495,720
8,2495,900
8,5139,540
8,2902,167
8,5761,996
8,3189,600
8,1511,900
8,2131,900
8,1118,167
8,5434,900
8,4493,650
8,1701,849
8,2995,167
8,3687,185
8,4024,631
8,5031,941
8,3888,167
8,3926,984
8,3836,463
8,3647,159
8,2818,167
8,3219,713
8,0,315
8,273,167
8,871,900
8,2481,961
8,1226,999
8,5569,999
8,4896,317
8,535,720
8,696,999
8,214,997
8,18,463
8,13,998
8,831,167
8,1142,167
8,691,231
8,3342,901
8,7,975
8,4867,159
8,1253,720
8,5789,960
8,1491,978
9,2294,996
9,351,315
9,4894,800
9,3678,992
9,0,969
9,2076,622
9,2455,979
9,214,246
9,755,941
9,18,974
9,4482,958
9,4125,463
9,4498,198
9,3,643
9,2261,188
9,5703,489
9,1488,999
9,1839,997
9,1455,999
9,5182,999
9,4317,242
9,3862,193
9,1107,169
9,3050,998
9,430,213
9,5810,315
9,4659,198
9,1051,941
9,5,643
9,4071,223
9,1307,315
9,3836,463
9,4147,187
9,1701,315
9,3613,336
13,3534,600
13,5434,867
13,3189,600
13,1511,855
13,8,998
13,2131,860
13,3219,280
13,4125,265
13,5340,600
13,3647,600
13,696,999
13,1226,998
13,2481,720
13,871,832
13,535,720
13,5569,995
13,3028,600
13,3314,356
13,5761,998
13,1253,720
13,2495,805
13,1491,720
13,5789,991
13,5554,600
13,3342,830
13,7,955
13,214,996
13,4493,650
13,1701,470
13,4024,463
13,4096,274
13,5031,941
13,3836,463
13,3926,980
13,5139,540
14,4631,800
14,734,979
14,4071,800
14,4386,979
14,5860,800
14,1224,800
14,5810,315
14,1046,800
14,3479,800
14,3016,315
14,3950,315
14,4914,941
14,1983,979
14,1701,315
14,3553,800
14,2604,800
14,2946,800
14,1510,800
14,641,800
14,3423,800
14,509,800
14,376,979
14,4421,800
14,3214,979
14,2902,315
14,1392,800
14,1104,979
14,3394,800
14,2770,979
14,2326,979
14,967,800
14,4702,315
14,1338,800
14,3201,979
14,156,800
14,5508,979
14,843,315
14,2186,800
14,1165,800
14,2516,800
14,598,800
14,4915,979
14,1421,979
14,0,463
14,4104,800
14,1976,315
14,4557,800
14,972,979
14,5672,800
14,5263,800
17,1976,315
18,2294,977
18,4896,315
18,3,908
18,1839,977
18,3678,990
18,1455,976
18,5182,977
18,4894,857
18,8,463
18,0,995
18,5810,315
18,2076,672
18,3050,976
18,3836,483
18,9,974
18,2455,958
18,1051,941
18,5,908
18,794,315
18,755,958
18,1701,479
18,4125,633
18,1488,986
18,4482,976
20,3453,420
20,2503,151
20,4027,991
20,4784,219
20,5461,303
20,492,384
20,764,974
20,1119,231
20,4642,677
20,3498,366
20,4096,434
20,2063,412
20,36,183
20,1951,231
20,3785,988
20,536,276
20,4460,995
23,5223,620
23,812,769
23,1185,600
23,3474,678
23,1161,193
23,4634,605
23,2772,649
23,2825,307
23,36,216
23,4582,188
23,2284,351
23,671,202
23,2298,315
23,730,203
23,4751,354
23,5523,159
23,5843,600
23,5944,159
23,5273,307
23,4670,307
23,2995,422
23,1974,198
23,3373,151
23,1304,204
23,462,604
23,5839,172
23,1527,218
23,4458,478
23,3317,175
23,638,159
23,3924,315
23,2273,156
23,806,223
23,3599,877
23,273,411
23,5455,150
23,156,229
23,5143,171
23,2463,168
23,5596,967
23,4637,370
23,1363,170
23,3274,600
23,5721,309
23,5833,166
23,3426,244
23,3310,228
23,193,622
23,2341,213
23,2820,307
23,3528,164
23,5429,614
23,2697,483
23,5890,315
23,2434,350
23,803,307
23,1171,165
23,3631,173
23,2360,271
23,3609,483
23,3108,628
23,155,643
23,2381,166
23,2419,183
23,2184,194
23,1121,170
23,3015,493
23,5084,192
23,3377,275
23,4967,203
23,651,256
23,2571,620
23,2246,161
23,2192,295
23,1123,156
23,4070,152
23,1725,393
23,5443,179
23,3443,213
23,4667,654
23,2618,635
23,1873,370
23,4614,987
23,2350,153
23,2320,435
23,5237,184
23,3563,309
23,731,181
23,4389,433
23,4261,180
23,2489,233
23,4343,358
23,4275,349
23,5309,463
23,1435,373
23,4867,199
23,5498,174
23,107,227
23,2611,315
23,1701,151
23,5231,307
23,5822,307
23,4028,364
23,3314,279
23,5638,170
23,3849,498
23,1976,309
23,871,195
23,5656,307
23,1719,188
23,2302,454
23,5492,210
23,5050,290
23,808,222
23,343,254
23,3728,767
23,2917,191
23,3934,183
23,3138,198
23,2303,200
23,720,540
23,5379,309
23,3905,165
23,3134,554
23,1493,765
23,1949,363
23,1673,258
23,5743,390
23,4033,370
23,3145,156
23,1114,196
23,1307,177
23,3647,199
23,2526,309
23,3028,244
23,3402,524
23,1072,350
23,1459,233
23,2041,162
23,764,320
23,5236,253
23,4784,600
23,4796,380
23,2698,400
23,2664,336
23,3509,169
23,1866,192
23,3888,567
23,2139,231
23,4448,309
23,1753,801
23,5339,165
23,5034,327
23,1001,186
